STT;SBD;GioiTinh;KV;HocLuc;HanhKiem;DTBLop12;MaHuyen;MaTruongPT;TO;VA;LI;HO;SI;SU;DI;GDCD;NN;
13281;37013281;Nu;1;Gioi;Tot;8,1;03;043;7,2;6,25;6,75;6;3,25;;;;3,4;
13282;37013282;Nu;2NT;Kha;Tot;7,3;03;043;6;5,5;;;;3,75;5,5;7,25;3,2;
13283;37013283;Nam;;Trung binh;Tot;6,8;03;043;4;4,5;;;;3,25;6,75;7,5;2,8;
13284;37013284;Nam;2NT;Gioi;Tot;8,5;03;043;8,8;6;7,75;8,5;6;;;;6;
13285;37013285;Nu;2NT;Gioi;Tot;8,4;03;043;8,6;6,5;6,5;7,5;7,25;;;;4,8;
13286;37013286;Nam;;Trung binh;Tot;6,4;03;043;3,2;4;;;;3,75;;;3,2;
13287;37013287;Nam;2NT;Kha;Tot;7,2;03;043;5,2;4;;;;3;7;7;2,6;
13288;37013288;Nu;2NT;Kha;Tot;7,6;03;043;5,6;7;;;;5;6,75;8,75;5,4;
13289;37013289;Nu;2NT;Kha;Tot;7,6;03;043;7;7,25;;;;4,75;6,75;8,75;4,4;
13290;37013290;Nu;;Kha;Tot;7,4;03;043;6;6,75;;;;5;6,5;9;3,2;
13291;37013291;Nu;1;Gioi;Tot;8,6;03;043;8,4;8;6;6;6,5;;;;7,4;
13292;37013292;Nam;2NT;Kha;Tot;7,2;03;043;6,4;4;;;;3,75;4,25;8;2,4;
13293;37013293;Nu;;Kha;Tot;7,6;03;043;5,4;5,5;;;;2,75;6,25;7,5;4,2;
13294;37013294;Nam;;Kha;Tot;7,4;03;043;7;4,25;;;;4;7,25;9,5;4,8;
13295;37013295;Nu;;Gioi;Tot;8,4;03;043;7,2;7,5;6,75;6;6,5;;;;5;
13296;37013296;Nu;;Kha;Tot;7;03;043;2,6;5,75;;;;3,75;5,75;5,75;3,6;
13297;37013297;Nu;;Kha;Tot;7,8;03;043;5,4;7;;;;4,25;6,75;9,25;3,2;
13298;37013298;Nam;2NT;Kha;Tot;6,9;03;043;6,2;6,5;;;;3,75;7,5;7;3,2;
13299;37013299;Nam;;Kha;Tot;7,3;03;043;5,8;5,25;;;;5;8,25;9;4;
13300;37013300;Nam;;Kha;Tot;6,7;03;043;4,8;3,75;;;;4,25;7;7,5;3,2;
13301;37013301;Nam;;Kha;Tot;7,3;03;043;7,4;6,5;;;;5,25;7;8,5;4,2;
13302;37013302;Nu;2NT;Gioi;Tot;8,5;03;043;9,2;7,75;7,75;8,25;6;;;;5,6;
13303;37013303;Nu;;Kha;Tot;7;03;043;5,8;5;;;;2,5;6,5;8,75;4,4;
13304;37013304;Nu;2NT;Kha;Tot;7,7;03;043;7,4;6,25;;;;3,75;6,5;8,5;6,4;
13305;37013305;Nu;;Kha;Tot;7,4;03;043;6;6,5;;;;5,25;7,5;8,5;5;
13306;37013306;Nam;;Trung binh;Tot;6,2;03;043;;;;;;;;;;
13307;37013307;Nam;;Kha;Tot;7,2;03;043;6,2;7,25;;;;5,25;6,75;9,25;5,6;
13308;37013308;Nam;2NT;Kha;Tot;7,6;03;043;7;6;6,25;7,5;6;;;;3,4;
13309;37013309;Nam;;Kha;Tot;7,3;03;043;6,2;5,5;;;;5;6,5;8,75;4;
13310;37013310;Nu;;Kha;Tot;7,4;03;043;5,8;5,75;;;;5,25;5,5;8,75;3,8;
13311;37013311;Nam;2NT;Gioi;Tot;8,5;03;043;9,2;7,5;7,25;7,5;6;;;;7,6;
13312;37013312;Nam;2NT;Yeu;Kha;6,4;03;043;4;4;;;;2,5;5,5;8,25;3,6;
13313;37013313;Nu;;Kha;Tot;7,2;03;043;5,2;5;;;;3,25;6,25;9,5;4,4;
13314;37013314;Nam;1;Kha;Tot;7,6;03;043;6,6;7;;;;4,5;6,25;8,25;3,8;
13315;37013315;Nam;2NT;Kha;Tot;7,1;03;043;8;4,75;8;6,5;2,75;;;;3,4;
13316;37013316;Nu;2NT;Gioi;Tot;8;03;043;7,4;7,5;;;;6,5;7,75;9,5;4,6;
13317;37013317;Nu;2NT;Kha;Tot;7,9;03;043;7;6,25;;;;5,5;5;8,75;5,6;
13318;37013318;Nu;2NT;Kha;Tot;7,6;03;043;5,8;5,75;;;;3,25;6;8,25;5;
13319;37013319;Nam;;Kha;Tot;7,6;03;043;7,6;6;;;;4,25;8,75;9,5;4;
13320;37013320;Nam;;Kha;Kha;6,9;03;043;6;5,75;;;;4,5;5,25;8,5;5;
13321;37013321;Nu;;Kha;Tot;7,6;03;043;7,8;6;6,75;7;6,25;;;;4;
13322;37013322;Nu;;Kha;Tot;7,5;03;043;6;6,5;;;;5;6,5;8,25;5,6;
13323;37013323;Nam;;Trung binh;Tot;6,8;03;043;3,6;4,5;;;;3,5;4,75;7,25;3,6;
13324;37013324;Nu;2NT;Gioi;Tot;8,6;03;043;8,4;8;7,75;7,75;6,25;;;;7,2;
13325;37013325;Nam;;Kha;Tot;7,4;03;043;5,8;5,75;;;;3,75;4,5;8,25;4,6;
