STT;SBD;GioiTinh;KV;HocLuc;HanhKiem;DTBLop12;MaHuyen;MaTruongPT;TO;VA;LI;HO;SI;SU;DI;GDCD;NN;
1;37000001;Nam;2;Gioi;Tot;8,5;01;003;9,2;6,25;8,5;3,5;5;;;;7,4;
2;37000002;Nu;2;Gioi;Tot;8,5;01;003;8,2;8;;;;8;7,5;9,25;8;
3;37000003;Nu;;Kha;Kha;6,8;03;052;3;5,25;;;;4;4;;;
4;37000004;Nam;2;Kha;Tot;7,8;01;003;8;5;7;7,5;5;;;;7;
5;37000005;Nu;2;Gioi;Tot;8,9;01;003;8,2;7,75;;;;6,75;7;9,25;9,6;
6;37000006;Nam;;Trung binh;Kha;6,5;25;052;3;4,5;;;;3,75;6,75;;;
7;37000007;Nam;2;Kha;Tot;7,9;01;003;8,8;4,25;7,75;5,5;4;;;;7,2;
8;37000008;Nam;;Trung binh;Kha;6,1;01;052;2,4;3;;;;4;4;;;
9;37000009;Nam;;Kha;Kha;6,7;01;052;3;4;;;;4;6,25;;;
10;37000010;Nam;2;Gioi;Tot;8,6;01;003;9,6;6;9;6,5;7,5;;;;9,4;
11;37000011;Nam;;Kha;Kha;6,8;01;052;5,2;5,5;;;;3;7,5;;;
12;37000012;Nam;2;Gioi;Tot;8,6;01;003;8,6;7,5;8,75;5,75;6,25;;;;7,8;
13;37000013;Nu;2;Gioi;Tot;8,3;01;003;8,4;7,25;;;;5,75;7;9,25;8;
14;37000014;Nam;2;Gioi;Tot;8,4;01;003;9,6;6;9;8,25;6,5;;;;9;
15;37000015;Nam;2;Kha;Tot;7,8;01;003;9,6;4,25;8,25;7;3,75;;;;5,2;
16;37000016;Nu;2;Gioi;Tot;8,4;01;003;8,8;6,25;7,75;6;5,25;;;;8,2;
17;37000017;Nam;2;Gioi;Tot;8,5;01;003;9;5,25;6,25;5;4,25;;;;7,2;
18;37000018;Nu;2;Gioi;Tot;8,5;01;003;8,8;7;7,75;4,75;4,5;;;;7,6;
19;37000019;Nu;;Kha;Kha;6,9;06;052;5,8;6,75;;;;4,5;7,5;;;
20;37000020;Nu;1;Gioi;Tot;8,5;06;003;9;7;6,75;8,75;8,5;;;;8,6;
21;37000021;Nam;;Yeu;Trung binh;5,5;01;052;2,4;3,5;;;;4;6,5;;;
22;37000022;Nam;2;Gioi;Tot;8,7;01;003;9;6;5,75;9,75;7,75;;;;6,6;
23;37000023;Nam;2;Kha;Tot;7,2;01;003;6,6;7,25;;;;6,5;8,25;8,75;8,4;
24;37000024;Nu;2;Gioi;Tot;8,2;11;003;9,2;8,25;5,25;5;5,5;;;;8,4;
25;37000025;Nu;2;Gioi;Tot;8,3;04;003;8,2;7;4;9,25;9;;;;6;
26;37000026;Nam;2;Gioi;Tot;8,9;01;003;9;8,25;7,75;8,75;7,5;;;;8,6;
27;37000027;Nam;2;Gioi;Tot;8,5;01;003;9;4,75;5,25;9,75;9,5;;;;7,2;
28;37000028;Nu;2;Gioi;Tot;8,4;01;003;9;5,5;5,25;9,5;5,75;;;;8;
29;37000029;Nu;2;Gioi;Tot;8,7;01;003;8,4;7,75;7;8,75;9,75;;;;7,2;
30;37000030;Nu;2;Kha;Tot;8,6;01;003;7,2;6,5;6,75;7,5;6;;;;6,8;
31;37000031;Nu;;Kha;Kha;7;01;052;2,4;6,25;;;;3,25;6,5;;;
32;37000032;Nu;2;Gioi;Tot;8,4;01;003;9,4;7,5;5,5;8,5;7,75;;;;7,4;
33;37000033;Nam;2;Gioi;Tot;8,3;01;003;9,2;5;3,25;9;9,5;;;;9,2;
34;37000034;Nam;2;Gioi;Tot;8,3;01;003;8,6;7;7,25;4,75;5,25;;;;8,2;
35;37000035;Nam;2;Kha;Tot;7,9;01;003;8,4;7,25;7,5;4,75;6,5;;;;6,6;
36;37000036;Nam;;Kha;Kha;7;04;052;2,8;5,75;;;;3,5;7;;;
37;37000037;Nam;2;Gioi;Tot;8,5;01;003;8,4;7,5;6,75;7,5;6,75;;;;8,2;
38;37000038;Nam;2;Gioi;Tot;8,7;10;003;9,4;7,75;5,75;9;9,75;;;;6,6;
39;37000039;Nam;2;Kha;Tot;7;06;052;4,8;6,25;;;;7;7,75;;;
40;37000040;Nam;;Yeu;;;02;045;2;5;;;;4,75;5,5;;;
41;37000041;Nu;2;Gioi;Tot;8,4;01;003;8,6;6;5,5;7,75;8,5;;;;8,4;
42;37000042;Nu;;Gioi;Tot;8,9;01;003;8,2;7,5;;;;7,5;7,25;9,25;9,4;
43;37000043;Nu;2;Gioi;Tot;8,3;01;003;7,6;7,5;5,25;5,25;5,25;;;;8,8;
44;37000044;Nu;2;Gioi;Tot;8,2;01;003;8,6;7;;;;4,75;8,5;7,75;7;
45;37000045;Nam;2;Gioi;Tot;8,7;01;003;8,8;7,25;5;9,25;8,5;;;;8,2;
46;37000046;Nu;2;Gioi;Tot;9;01;003;9,2;8,25;8,5;7,25;7,5;;;;9,2;
47;37000047;Nam;2;Kha;Tot;7,8;01;003;6,8;8;;;;8,25;7,75;8,75;8,8;
48;37000048;Nu;2;Gioi;Tot;9;01;003;7,4;7,5;3,25;8;6;;;;9,2;
49;37000049;Nu;;Kha;Tot;7,4;01;052;4,8;7;;;;6;6,75;;;
50;37000050;Nu;2;Gioi;Tot;8,6;01;003;8,6;7,25;5,5;8;8,25;;;;5;
51;37000051;Nu;2;Gioi;Tot;8,5;01;003;9,2;7;7,75;8,5;7,25;;;;8,4;
52;37000052;Nu;2;Gioi;Tot;8,8;01;003;9,2;8;8,25;5,25;7;;;;9,8;
53;37000053;Nu;2;Gioi;Tot;8,7;01;003;8,8;8,25;;;;6,25;7;9,25;9,8;
54;37000054;Nu;2;Kha;Tot;7,5;01;052;7,2;4,75;7;6;3;;;;;
55;37000055;Nam;;Kha;Kha;7;01;052;2,6;5,75;;;;2,25;5,25;;;
56;37000056;Nam;2;Kha;Tot;7,8;01;003;9;6,25;8,25;4,5;4;;;;8,8;
57;37000057;Nam;2;Gioi;Tot;8,4;01;003;9;5,75;9,25;4,75;3,75;;;;9,6;
58;37000058;Nam;2;Gioi;Tot;8,2;01;003;8,6;5,25;7,75;8,5;6,25;;;;6;
59;37000059;Nam;2;Gioi;Tot;8,3;01;003;8,8;6,75;8,25;9,25;5,5;;;;6,4;
60;37000060;Nu;2;Gioi;Tot;8,8;01;003;8,6;7,75;8,75;8,5;3,25;;;;4,8;
61;37000061;Nam;2;Gioi;Tot;8,6;01;003;9,4;7,5;8,5;7;5,25;;;;8;
62;37000062;Nam;2;Gioi;Tot;8,4;01;003;8;6,25;6;8,75;8,5;;;;6,8;
63;37000063;Nam;2;Gioi;Tot;8,5;01;003;9,4;5,5;4,5;8,75;8;;;;7,8;
64;37000064;Nu;2;Gioi;Tot;8,9;01;003;9,2;6,25;5,25;8,75;9,5;;;;8,8;
65;37000065;Nu;2;Gioi;Tot;8,9;01;003;9,8;5,25;6,25;9;4,75;;;;9,4;
66;37000066;Nam;2;Gioi;Tot;8,5;01;003;8,8;8,5;5,75;6,25;4,5;;;;8,2;
67;37000067;Nam;2;Gioi;Tot;8,5;01;003;9,4;3,5;5,5;9,25;9;;;;6,6;
68;37000068;Nam;1;Gioi;Tot;8,3;05;003;8,8;7;8;8,75;5,25;;;;5;
69;37000069;Nam;;Gioi;Tot;8,8;08;003;7,4;5,75;7,75;6,5;6,75;;;;6;
70;37000070;Nam;;Kha;Tot;7,1;11;052;2,8;3,25;;;;4,75;3;;;
71;37000071;Nam;2;Gioi;Tot;8,6;01;003;9;7,5;4,25;8,25;8;;;;6,6;
72;37000072;Nam;2;Gioi;Tot;8,5;01;003;9,6;7;7;9,25;10;;;;8,2;
73;37000073;Nam;;Trung binh;Tot;6,7;01;052;3;5,5;;;;3,5;;;;
74;37000074;Nam;2;Gioi;Tot;8,3;01;003;8,6;6,75;5;8;6,75;;;;6,6;
75;37000075;Nam;2;Kha;Kha;7,4;01;003;4,4;5,5;1,25;4,75;4,5;;;;4,2;
76;37000076;Nam;2;Gioi;Tot;8,6;01;003;9;7;9,5;4,75;5,75;;;;9,6;
77;37000077;Nam;2;Gioi;Tot;8,5;11;003;8,4;8;5,25;8;8,75;;;;4,8;
78;37000078;Nu;2;Gioi;Tot;8,8;01;003;9;7;4,5;8;9;;;;7,8;
79;37000079;Nam;2;Gioi;Tot;9;01;003;9,4;7;8,5;9,75;9,25;;;;7,2;
80;37000080;Nam;2;Gioi;Tot;8,6;01;003;8,6;6,25;6,75;10;9,5;;;;7,4;
81;37000081;Nam;2;Gioi;Tot;8,1;01;003;8,4;5,75;7,25;7,75;5,25;;;;9,4;
82;37000082;Nam;2;Gioi;Tot;8,3;08;003;8,4;6,75;7,75;8,25;5,5;;;;5,4;
83;37000083;Nam;2;Kha;Tot;8,2;01;003;8,2;5,75;8,25;4,25;3,25;;;;7,2;
84;37000084;Nam;;Kha;Tot;7,4;01;052;4,6;6,25;;;;6,5;8;;;
85;37000085;Nam;2;Kha;Tot;8,2;01;003;7,8;5,5;7,75;5,75;4,5;;;;9;
86;37000086;Nam;2;Gioi;Tot;8,6;11;003;9,4;6,75;8;8,5;5;;;;5,6;
87;37000087;Nu;2;Gioi;Tot;8,6;01;003;8,6;6,25;2,75;8,75;8,5;;;;8,4;
88;37000088;Nam;2;Gioi;Tot;8,3;08;003;9,6;7;6;9,75;9,5;;;;7,4;
89;37000089;Nam;2;Gioi;Tot;8,5;01;003;9;6,75;8;9;4,5;;;;4,8;
90;37000090;Nu;2;Gioi;Tot;8,7;01;003;8,6;8,75;;;;6,75;7,25;9,25;8,6;
91;37000091;Nam;2;Gioi;Tot;8,6;01;003;10;6,5;5,25;9,5;9,75;;;;8,2;
92;37000092;Nam;2;Gioi;Tot;8,5;01;003;9,2;6;4,5;9,5;9,25;;;;7,2;
93;37000093;Nam;2;Gioi;Tot;9;01;003;9,8;7,5;8,75;9,25;9,5;;;;9,2;
94;37000094;Nam;2;Gioi;Tot;8;01;003;8,8;6;4,75;9;9;;;;7,8;
95;37000095;Nam;2;Gioi;Tot;8,9;01;003;9,8;7;7,5;10;10;;;;9,8;
96;37000096;Nam;2;Kha;Kha;6,9;01;052;6,4;6;;;;4,75;5,25;;5,8;
97;37000097;Nam;2;Gioi;Tot;8,5;01;003;9,4;5;8,75;6,5;5,75;;;;8,4;
98;37000098;Nam;2;Gioi;Tot;8,6;01;003;9,6;5,25;4;8,75;8,5;;;;9,2;
99;37000099;Nu;2;Gioi;Tot;8,3;01;003;8;8,5;;;;4;6,5;8;9;
100;37000100;Nu;2;Gioi;Tot;8,3;01;003;9,4;8,75;;;;6;7,5;8,25;9,2;
101;37000101;Nam;2;Gioi;Tot;9;06;003;9,4;8;9;9;7,5;;;;9;
102;37000102;Nam;2;Gioi;Tot;8,6;01;003;7,8;8;6,75;6,25;6;;;;9;
103;37000103;Nam;2;Gioi;Tot;8,6;01;003;9,2;7;5,75;8,5;9,5;;;;7,8;
104;37000104;Nam;;Kha;Kha;6,9;07;052;2;2,75;;;;5,75;4,5;;;
105;37000105;Nam;2;Kha;Tot;8,2;01;003;8,6;5,5;8,75;6,75;6,5;;;;9,4;
106;37000106;Nam;2;Kha;Tot;8;01;003;8,6;6,75;7,75;4,25;2,75;;;;5;
107;37000107;Nam;2;Kha;Tot;7,8;01;003;8,2;5,75;9;5,5;5;;;;8,4;
108;37000108;Nam;2;Kha;Tot;8;06;003;8,4;6;7,75;8,5;4,75;;;;4,6;
109;37000109;Nam;;Gioi;Tot;8,2;01;003;7,8;8;5,75;8,5;6,5;;;;;
110;37000110;Nam;2;Gioi;Tot;8,5;10;003;9,6;6,25;6,5;7,5;6,75;;;;4;
111;37000111;Nam;2;Gioi;Tot;8,8;01;003;9,6;7,25;9,25;8;7,5;;;;9;
112;37000112;Nam;2;Kha;Tot;7,9;10;003;9,8;5,75;4,5;9,5;9,25;;;;5,8;
113;37000113;Nam;2;Gioi;Tot;8,4;01;003;9,8;6,25;5,5;9,75;8,75;;;;7,2;
114;37000114;Nu;2;Gioi;Tot;8,4;01;003;7,2;5,5;5;8;9;;;;5,6;
115;37000115;Nu;2;Gioi;Tot;9;01;003;9;7,5;7;6,75;6;;;;9,2;
116;37000116;Nu;2;Kha;Tot;7,9;01;003;8,8;7,5;;;;8;7,25;8,25;8,8;
117;37000117;Nu;2;Gioi;Tot;8,9;08;003;8,4;6,5;8,75;6,75;6,5;;;;10;
118;37000118;Nu;2;Gioi;Tot;8,7;01;003;9,2;7;7;6,5;6,75;;;;9,8;
119;37000119;Nu;2;Gioi;Tot;8,3;01;003;8,8;6,75;6,75;8,5;8,25;;;;5;
120;37000120;Nu;;Gioi;Tot;8,7;01;003;8,2;8,25;8,5;5,75;7,75;;;;;
121;37000121;Nu;2;Gioi;Tot;8,6;01;003;9,2;6,75;3,75;9;4,25;;;;9,6;
122;37000122;Nam;;Kha;Kha;6,9;06;052;;;;;;;;;;
123;37000123;Nam;2;Kha;Tot;7,9;01;003;8;7,25;5,75;7,75;7,75;;;;5,4;
124;37000124;Nam;2;Gioi;Tot;8,5;01;003;8,8;7;4,75;9,25;8,75;;;;8;
125;37000125;Nam;;Trung binh;Kha;5,7;01;052;3,4;3,5;;;;1,75;4;;;
126;37000126;Nam;2;Gioi;Tot;8,9;01;003;8,4;8,5;;;;7;8,5;8,5;9,2;
127;37000127;Nam;;Kha;Kha;6,7;10;052;5,2;6,25;;;;3,5;5,25;;;
128;37000128;Nu;2;Gioi;Tot;8,6;08;003;9;5,5;9;5,75;4,25;;;;8,2;
129;37000129;Nu;2;Gioi;Tot;8,7;01;003;8,6;8,25;;;;3,75;6;8,75;8;
130;37000130;Nu;;Trung binh;Kha;6;01;052;2,2;5,25;;;;2,25;2,75;;;
131;37000131;Nu;2;Kha;Tot;7,9;01;003;9,2;7,75;;;;5;7,25;9;7,6;
132;37000132;Nu;2;Kha;Tot;7,8;01;003;8,4;6,5;7,5;6,25;5,25;;;;7;
133;37000133;Nam;2;Gioi;Tot;8,2;01;003;8,4;6,5;8;8,25;5,5;;;;7,2;
134;37000134;Nam;2;Gioi;Tot;8,5;01;003;9,2;5,75;8,5;8;4,5;;;;8,8;
135;37000135;Nu;;Kha;Kha;7,6;01;052;3,2;4;;;;6,5;8;;;
136;37000136;Nam;2;Kha;Tot;8,1;01;003;8,2;6,75;8,25;5;4,25;;;;7,8;
137;37000137;Nam;2;Gioi;Tot;8,7;01;003;8,6;6;7,75;6,25;5,25;;;;8,4;
138;37000138;Nu;2;Gioi;Tot;8,8;01;003;8,2;7,75;8;6,75;7;;;;8,4;
139;37000139;Nu;2;Gioi;Tot;8,7;01;003;8,6;7,5;8,25;7,75;6,75;;;;7,2;
140;37000140;Nu;2;Kha;Tot;7,9;01;003;9,6;6,25;8,5;8;3;;;;6,2;
141;37000141;Nam;2;Kha;Tot;7,8;01;003;8,4;6;7,75;3;4,75;;;;7,6;
142;37000142;Nam;2;Gioi;Tot;8;01;003;8,8;6,5;8,25;8,25;4;;;;4,8;
143;37000143;Nam;2;Kha;Tot;7,6;01;003;8,8;6;7,25;4,5;3;;;;7,6;
144;37000144;Nu;2;Gioi;Tot;8,6;10;003;8,4;8;;;;5,25;6,75;8,25;8,6;
145;37000145;Nu;2;Gioi;Tot;8,3;01;003;9;5,75;7,75;8,25;4,5;;;;6,2;
146;37000146;Nu;2;Gioi;Tot;8,2;01;003;9,4;7,5;4;6,5;4,25;;;;8,2;
147;37000147;Nu;2;Gioi;Tot;8,3;01;003;8,8;6,25;7,5;6,5;7,5;;;;9,6;
148;37000148;Nu;2;Gioi;Tot;8,4;01;003;9;7;7,25;8,5;8,75;;;;6;
149;37000149;Nu;2;Gioi;Tot;8,4;01;003;8,2;8;3,75;4,25;3,75;;;;7,8;
150;37000150;Nu;2;Gioi;Tot;8,5;01;003;9,4;6,25;9;5,25;5,5;;;;9,2;
151;37000151;Nu;2;Gioi;Tot;8,6;01;003;8,6;6,75;7,75;7,5;5;;;;8,2;
152;37000152;Nu;2;Gioi;Tot;8;01;003;7,8;4,25;6,75;4,5;3,25;;;;6,2;
153;37000153;Nam;;Kha;Tot;7,3;01;052;4;4,25;;;;3,5;;;;
154;37000154;Nam;1;Kha;Tot;8,1;05;003;8;4,5;7,25;4,25;4,5;;;;8,4;
155;37000155;Nam;;Kha;Kha;6,9;01;052;3,4;4;;;;4;4,75;;;
156;37000156;Nu;2;Gioi;Tot;8,7;01;003;9;8,5;8,25;5,5;4,5;;;;8,2;
157;37000157;Nu;;Gioi;Tot;8,7;01;003;7,6;8,5;;;;6,5;7,75;8,75;;
158;37000158;Nu;2;Gioi;Tot;9;01;003;8,8;7,25;8,25;6,25;5,5;;;;7,8;
159;37000159;Nam;2;Kha;Tot;7,4;01;003;7,6;6;6,5;6;5,75;;;;6,4;
160;37000160;Nam;;Kha;Kha;6,9;01;052;2,6;5,5;;;;2,75;5,5;;;
161;37000161;Nu;2;Gioi;Tot;8,2;01;003;8;8,5;;;;6,5;8,25;9;8,8;
162;37000162;Nu;2;Gioi;Tot;9,1;01;003;9;6,25;4,5;9;8,75;;;;7,8;
163;37000163;Nu;2;Kha;Tot;8,2;01;003;7,6;7,5;4;4,75;5,25;;;;8,2;
164;37000164;Nam;2;Gioi;Tot;8,4;01;003;9;4,75;8,75;8,75;3,75;;;;5;
165;37000165;Nam;2;Gioi;Tot;8,4;01;003;7,6;5;7;5,25;6;;;;8,8;
166;37000166;Nam;;Gioi;Tot;8,7;10;003;8,8;7,75;;;;5,75;8;9,5;9,6;
167;37000167;Nu;2;Gioi;Tot;8,7;01;003;8,8;8;;;;6,75;7,75;9;9;
168;37000168;Nu;2;Gioi;Tot;8,9;01;003;8,8;6;4,5;8,25;8,5;;;;8,2;
169;37000169;Nu;2;Kha;Tot;7,9;01;003;8;7,75;;;;4,25;6,5;8;8,6;
170;37000170;Nu;;Kha;Kha;7;01;052;2,2;3,5;;;;2,5;5,75;;;
171;37000171;Nu;2;Gioi;Tot;8,2;01;003;8,2;8,25;;;;5,5;8,75;8,75;8,4;
172;37000172;Nu;2;Gioi;Tot;8,5;01;003;7;8;;;;4,5;5,5;8,5;8,4;
173;37000173;Nu;2;Gioi;Tot;8,6;11;003;9;7;6,25;8,5;9;;;;6,2;
174;37000174;Nu;;Kha;Tot;7,4;01;052;4,4;6,5;;;;5,75;6,5;;;
175;37000175;Nu;2;Gioi;Tot;9;01;003;9;7,5;7,25;8;7;;;;9,4;
176;37000176;Nu;;Trung binh;Tot;6,9;01;052;4,8;4,25;;;;2,75;5,5;;;
177;37000177;Nu;2;Gioi;Tot;8,3;01;003;8,4;6;4,5;7,25;8;;;;5,6;
178;37000178;Nu;2;Gioi;Tot;8,3;01;003;7,8;6,5;3,5;7,75;7,25;;;;5;
179;37000179;Nu;2;Gioi;Tot;8,5;11;003;8,8;6,5;4,75;9,5;8,75;;;;5,8;
180;37000180;Nu;2;Gioi;Tot;8,3;11;003;8;7;;;;3,75;7,75;7,75;8;
181;37000181;Nu;2;Gioi;Tot;8,8;01;003;8,8;6;5;9;8;;;;;
182;37000182;Nu;2;Gioi;Tot;8,3;01;003;8,4;8,25;;;;4,25;6,25;9;8,6;
183;37000183;Nu;2;Gioi;Tot;8,4;06;003;9,2;7,75;3;9,5;5,5;;;;8,2;
184;37000184;Nu;;Gioi;Tot;8,4;01;003;8,6;6,25;8,5;5,5;5,5;;;;;
185;37000185;Nu;2;Gioi;Tot;8,2;01;003;8,6;8,5;;;;7;7,75;8,75;8;
186;37000186;Nu;2;Gioi;Tot;8,1;10;003;8;7,25;3;5,25;8,75;;;;4,4;
187;37000187;Nam;;Kha;Tot;7,2;04;052;4,6;7;;;;6,25;7,75;;;
188;37000188;Nam;2;Kha;Tot;7,9;10;003;7,8;5,75;8,25;8,5;4;;;;3;
189;37000189;Nam;2;Gioi;Tot;8,5;01;003;9,2;5,25;7,75;4;6;;;;8,8;
190;37000190;Nam;2;Gioi;Tot;8,8;11;003;8,4;7,25;7;9;6,75;;;;6,8;
191;37000191;Nam;2;Gioi;Tot;8,3;01;003;8,6;7,25;4,75;8,25;7,25;;;;7,4;
192;37000192;Nam;2;Gioi;Tot;8,6;01;003;9,2;4;8;8,75;3,5;;;;5,4;
193;37000193;Nu;;Kha;Tot;7,9;05;052;7,4;6,5;;;;6,5;8,25;;;
194;37000194;Nu;2;Gioi;Tot;8,2;01;003;9,2;8,5;;;;4,25;6,75;7,25;8,4;
195;37000195;Nu;2;Gioi;Tot;8,4;01;003;7,8;8,5;4;6,5;5,5;;;;8;
196;37000196;Nam;2;Gioi;Tot;8,8;01;003;9,4;7;8,75;9;4,5;;;;8,2;
197;37000197;Nam;;Kha;Tot;7,1;01;052;4,2;3,75;;;;6,25;8,25;;;
198;37000198;Nu;2;Gioi;Tot;8,4;01;003;8,8;6,5;5,5;9;9;;;;6;
199;37000199;Nu;2;Gioi;Tot;8,9;01;003;9;8;8,75;7,25;7,5;;;;9;
200;37000200;Nu;2;Gioi;Tot;8,7;01;003;8,4;7,75;7,75;7;6,25;;;;8,8;
201;37000201;Nu;2;Gioi;Tot;8,6;01;003;9,4;7,25;8,5;7,75;6,25;;;;9,2;
202;37000202;Nam;2;Gioi;Tot;8,1;01;003;8,4;6,25;6,5;7,5;6;;;;6,2;
203;37000203;Nu;;Kha;Tot;7,2;01;052;5,4;4,25;;;;7,25;7,5;;;
204;37000204;Nam;2;Gioi;Tot;8,4;01;003;9,2;6,5;8,75;4,5;5,25;;;;8,6;
205;37000205;Nam;;Kha;Tot;7,1;01;052;3,4;4,25;;;;4;3,25;;;
206;37000206;Nam;2;Gioi;Tot;8,3;01;003;9,6;4,5;8,5;5,75;4,75;;;;9;
207;37000207;Nam;;Yeu;Kha;4,6;06;023;4,8;3,5;;;;5,5;6,25;;;
208;37000208;Nam;2;Gioi;Tot;8,7;01;003;9,6;5,5;8,75;4;5,25;;;;8,6;
209;37000209;Nam;2;Gioi;Tot;8,2;01;003;9;5,75;6,5;9;7,5;;;;7,6;
210;37000210;Nam;2;Gioi;Tot;8,3;01;003;8,2;6;7,5;4,25;3,75;;;;8,4;
211;37000211;Nam;2;Gioi;Tot;8,1;08;003;8;3,5;7;5;5;;;;5,8;
212;37000212;Nu;2;Gioi;Tot;8,5;10;003;9,4;6,5;6,25;8,5;8,25;;;;7,8;
213;37000213;Nam;;Kha;Tot;7;01;052;3,2;5,5;;;;3;6,25;;;
214;37000214;Nu;2;Gioi;Tot;8,2;11;003;8,4;5,5;7;8,25;3,75;;;;5;
215;37000215;Nu;;Kha;Tot;6,5;14;052;3;3;;;;3,5;7,25;;;
216;37000216;Nu;2;Gioi;Tot;8,1;06;003;7,6;7,5;;;;8;7,5;9;8,6;
217;37000217;Nu;2;Gioi;Tot;8,5;01;003;9;8;;;;10;6,75;8,75;8,8;
218;37000218;Nu;2;Gioi;Tot;8,6;11;003;9,2;5,75;8,25;6,75;6;;;;9,8;
219;37000219;Nu;2;Gioi;Tot;8,3;01;003;9,2;7,25;7;9,25;7,5;;;;8,4;
220;37000220;Nu;2;Kha;Tot;7,4;11;003;7,6;7,25;;;;3,75;6,25;8,5;7,4;
221;37000221;Nu;2;Gioi;Tot;8,2;01;003;8,6;7,75;;;;4,5;7,25;8,5;7,8;
222;37000222;Nu;2;Gioi;Tot;8,7;01;003;9;5,75;3,25;9,25;9,25;;;;9,8;
223;37000223;Nu;2;Gioi;Tot;8,5;01;003;8,8;7,75;;;;5,5;6,75;8;8,6;
224;37000224;Nu;2;Gioi;Tot;8,6;01;003;8,2;5,5;8;5,75;5,75;;;;9;
225;37000225;Nam;2;Gioi;Tot;8,8;01;003;9;6,5;8,5;9;6,25;;;;9,2;
226;37000226;Nam;2;Gioi;Tot;8,8;01;003;9,4;6,25;7;10;8,75;;;;6,6;
227;37000227;Nam;;Kha;Tot;6,8;01;052;3,6;3,25;;;;5,5;6,75;;;
228;37000228;Nam;2;Kha;Tot;7,7;01;003;8,6;5,75;4,75;8,25;5;;;;8,4;
229;37000229;Nam;;Kha;Tot;7;05;052;5,6;5,5;;;;5,25;8;;;
230;37000230;Nam;2;Gioi;Tot;8,2;06;003;7,8;5,5;6,75;8,25;8,25;;;;7,8;
231;37000231;Nam;2;Gioi;Tot;8,6;01;003;8;6,5;7,5;8;3,75;;;;7,2;
232;37000232;Nam;;Kha;Tot;6,8;05;052;3,8;3,5;;;;2,5;5,5;;;
233;37000233;Nam;2;Gioi;Tot;8,1;10;003;8,6;5,25;5,25;9,25;8,25;;;;5,2;
234;37000234;Nam;2;Gioi;Tot;8,2;11;003;8,8;6;8,75;5,25;5,25;;;;7,4;
235;37000235;Nam;2;Gioi;Tot;8,8;01;003;9,4;6,25;9;5,5;6,75;;;;9,2;
236;37000236;Nu;2;Gioi;Tot;8,4;01;003;8,8;6,5;8,5;9;7,75;;;;5,4;
237;37000237;Nam;2;Gioi;Tot;8,2;15;003;9,4;4,5;7,5;9,25;8,75;;;;7;
238;37000238;Nam;2;Gioi;Tot;8,5;06;003;8,6;6,5;7;8,5;7;;;;4,4;
239;37000239;Nam;;Kha;Tot;7,5;01;052;2,8;5;;;;3,25;6,5;;;
240;37000240;Nu;2;Gioi;Tot;9;01;003;9,2;8,5;7,5;7,75;6,25;;;;9,8;
241;37000241;Nu;2;Gioi;Tot;8,8;01;003;8,8;8;7,25;5,75;6;;;;8,4;
242;37000242;Nu;2;Gioi;Tot;8,7;10;003;8,8;7;7,75;6,75;5;;;;8;
243;37000243;Nu;2;Gioi;Tot;8,6;01;003;9,2;6,75;8,5;9,75;5,5;;;;6,6;
244;37000244;Nam;2;Gioi;Tot;8,5;01;003;8,6;5,75;9;9;5,75;;;;6,8;
245;37000245;Nam;;Kha;;7;01;052;4;3,25;;;;4,5;6,5;;;
246;37000246;Nam;2;Gioi;Tot;8,3;01;003;9,2;5,5;8,75;9,5;5,5;;;;6,6;
247;37000247;Nam;2;Gioi;Tot;8,7;01;003;9;6,75;3,75;8;8;;;;8,2;
248;37000248;Nam;2;Gioi;Tot;8,7;01;003;9,8;5,75;9;8,75;5,25;;;;6,8;
249;37000249;Nam;;Trung binh;Tot;6,7;01;052;2;3,5;;;;2,25;5;;;
250;37000250;Nam;2;Gioi;Tot;8,4;10;003;7,8;6,75;;;;6,75;7,25;9,25;8,4;
251;37000251;Nam;2;Gioi;Tot;8,8;01;003;9;7,75;7,75;5,75;6;;;;9,4;
252;37000252;Nam;2;Gioi;Tot;8,2;10;003;9,4;4,25;8,75;8,5;3;;;;5,2;
253;37000253;Nam;2;Gioi;Tot;8,5;11;003;8,8;5,5;5,25;9,5;9;;;;6,8;
254;37000254;Nu;2;Gioi;Tot;8,5;01;003;8,8;8,25;5,25;5,5;4,75;;;;8,4;
255;37000255;Nu;2;Gioi;Tot;9;01;003;9,4;7;8,5;6,25;5,25;;;;8,8;
256;37000256;Nam;2;Gioi;Tot;8,6;01;003;9,6;8;9;9,75;6,75;;;;7,8;
257;37000257;Nu;2;Gioi;Tot;9,1;01;003;9,4;7,25;5,5;9,25;9,5;;;;8;
258;37000258;Nu;2;Gioi;Tot;8,5;01;003;8,2;7;4;7,75;4,25;;;;7,4;
259;37000259;Nu;2;Gioi;Tot;8,9;01;003;9,2;7,5;7;7,5;5,75;;;;8,2;
260;37000260;Nu;2;Gioi;Tot;8,5;01;003;8,2;7,5;;;;5,5;7;9;8,2;
261;37000261;Nu;2;Kha;Tot;6,7;01;052;7,4;7,25;;;;6,25;6,5;;6,6;
262;37000262;Nu;2;Kha;Tot;7,9;11;003;8;7,75;;;;5,75;7,5;8,5;7,2;
263;37000263;Nu;2;Gioi;Tot;8,9;01;003;7,6;7,5;;;;7;7,25;8,75;9,2;
264;37000264;Nu;2;Gioi;Tot;8,4;01;003;8,8;8,25;;;;5,75;7;8,5;8,6;
